datetime,open,high,low,close,volume,kline_status,raw_fractal,valid_fractal
2024-07-16,7.57,7.71,7.5,7.69,17246296.0,TREND_UP_(M),,
2024-07-17,7.68,7.78,7.66,7.75,30108475.0,TREND_UP,TOP,
2024-07-22,7.72,7.76,7.54,7.59,19208126.0,TREND_DOWN_(M),,
2024-07-23,7.58,7.6,7.37,7.38,19465917.0,TREND_DOWN,,
2024-07-25,7.36,7.39,7.21,7.38,23913858.0,TREND_DOWN_(M),BOTTOM,
2024-07-26,7.38,7.58,7.37,7.56,19959773.0,TREND_UP,,
2024-07-31,7.56,7.73,7.45,7.72,15420331.0,TREND_UP_(M),,
2024-08-01,7.73,7.8,7.65,7.66,14518688.0,TREND_UP,TOP,T
2024-08-05,7.63,7.74,7.55,7.55,16005500.0,TREND_DOWN_(M),BOTTOM,Bx
2024-08-07,7.64,7.77,7.62,7.66,25671086.0,TREND_UP_(M),TOP,
2024-08-08,7.62,7.7,7.6,7.65,12681800.0,TREND_DOWN,,
2024-08-09,7.66,7.69,7.51,7.53,17295164.0,TREND_DOWN,,
2024-08-12,7.5,7.57,7.37,7.48,15855800.0,TREND_DOWN,,
2024-08-14,7.49,7.49,7.35,7.44,13517895.0,TREND_DOWN_(M),BOTTOM,Bx
2024-08-15,7.38,7.54,7.38,7.48,16035604.0,TREND_UP,TOP,Tx
2024-08-16,7.43,7.47,7.27,7.34,26761069.0,TREND_DOWN,BOTTOM,B
2024-08-19,7.32,7.8,7.32,7.79,54546143.99999999,TREND_UP,,
2024-08-20,7.76,7.84,7.67,7.77,28946290.0,TREND_UP,,
2024-08-23,7.77,8.05,7.77,7.93,27235973.0,TREND_UP_(M),,
2024-08-27,7.95,8.21,7.95,8.12,37993738.0,TREND_UP_(M),,
2024-08-28,8.24,8.28,8.11,8.21,36125709.0,TREND_UP,TOP,Tx
2024-08-30,8.14,8.27,8.1,8.27,20011170.0,TREND_DOWN_(M),BOTTOM,Bx
2024-09-02,8.19,8.46,8.17,8.37,40352196.0,TREND_UP,,
2024-09-03,8.4,8.56,8.35,8.51,33817315.0,TREND_UP,,
2024-09-04,8.5,8.65,8.45,8.63,34699491.0,TREND_UP,,
2024-09-05,8.6,8.79,8.48,8.73,39288160.0,TREND_UP,,
2024-09-06,8.77,8.81,8.6,8.62,28106248.0,TREND_UP,TOP,T
2024-09-09,8.62,8.72,8.58,8.64,31075600.0,TREND_DOWN,,
2024-09-10,8.66,8.69,8.5,8.58,29995062.0,TREND_DOWN,,
2024-09-12,8.54,8.6,8.43,8.51,28928835.0,TREND_DOWN_(M),BOTTOM,
2024-09-13,8.55,8.68,8.44,8.54,27363546.0,TREND_UP,,
2024-09-18,8.5,8.69,8.5,8.6,26843100.0,TREND_UP,TOP,
2024-09-19,8.64,8.67,8.42,8.59,35914948.0,TREND_DOWN,BOTTOM,B
2024-09-24,8.55,8.79,8.52,8.76,28002236.0,TREND_UP_(M),,
2024-09-26,8.85,9.05,8.74,9.03,60204025.0,TREND_UP_(M),,
2024-09-27,9.05,9.24,9.03,9.06,44575403.0,TREND_UP,,
2024-09-30,9.28,9.72,9.18,9.65,125331715.0,TREND_UP,,
2024-10-08,10.62,10.62,9.81,10.26,124433068.0,TREND_UP,TOP,Tx
2024-10-10,10.13,10.13,9.35,10.09,93603174.0,TREND_DOWN_(M),BOTTOM,Bx
2024-10-11,10.5,11.1,10.45,11.1,194832439.0,TREND_UP,,
2024-10-15,12.02,12.21,10.8,11.54,418157962.0,TREND_UP_(M),TOP,Tx
2024-10-16,11.0,11.07,10.39,10.55,309465631.0,TREND_DOWN,BOTTOM,
2024-10-18,10.8,11.25,10.61,10.95,242490902.0,TREND_UP_(M),,
2024-10-22,10.97,11.69,10.97,11.15,242134869.0,TREND_UP_(M),TOP,
2024-10-23,11.1,11.28,10.8,10.9,135065707.0,TREND_DOWN,,
2024-10-24,10.98,10.98,10.61,10.72,74828911.0,TREND_DOWN,,
2024-10-29,10.78,10.89,10.53,10.66,86177513.0,TREND_DOWN_(M),,
2024-10-30,10.6,10.68,10.45,10.61,59238407.99999999,TREND_DOWN,BOTTOM,Bx
2024-10-31,10.57,10.85,10.52,10.66,97746543.0,TREND_UP,TOP,Tx
2024-11-01,10.6,10.75,10.33,10.43,85845407.0,TREND_DOWN,,
2024-11-04,10.4,10.55,10.27,10.42,81530628.0,TREND_DOWN,BOTTOM,
