datetime,open,high,low,close,volume,kline_status
2021-09-16,2.8975,2.9,2.8825,2.8825,23500.0,TREND_UP
2021-09-17,2.8825,2.8825,2.8725,2.875,25600.0,TREND_DOWN
2021-09-18,2.8725,2.8725,2.8675,2.87,1000.0,TREND_DOWN
2021-09-22,2.8575,2.8625,2.856,2.86,30500.0,TREND_DOWN
2021-09-23,2.865,2.87,2.8475,2.855,15200.0,OUTSIDE
2021-09-24,2.86,2.87,2.8575,2.865,22700.0,INSIDE
2021-09-26,2.8675,2.875,2.8675,2.875,1600.0,TREND_UP
2021-09-27,2.875,2.8775,2.8625,2.875,23800.0,OUTSIDE
2021-09-28,2.875,2.88,2.87,2.875,21900.0,TREND_UP
2021-09-29,2.8775,2.878,2.86,2.86,16000.0,TREND_DOWN
2021-09-30,2.8575,2.88,2.855,2.8775,15900.0,OUTSIDE
2021-10-08,2.8825,2.9075,2.8825,2.905,20200.0,TREND_UP
2021-10-09,2.9125,2.9125,2.9125,2.9125,300.0,TREND_UP
2021-10-11,2.91,2.96,2.91,2.9575,27400.0,OUTSIDE
2021-10-12,2.96,2.965,2.945,2.96,23500.0,TREND_UP
2021-10-13,2.96,2.97,2.945,2.9525,24300.0,OUTSIDE
2021-10-14,2.95,2.955,2.945,2.9525,13900.0,INSIDE
2021-10-15,2.9575,2.995,2.94,2.99,26200.0,OUTSIDE
2021-10-18,3.01,3.04,2.9975,3.035,46800.0,TREND_UP
2021-10-19,3.03,3.035,2.9925,3.0075,42400.0,TREND_DOWN
2021-10-20,2.995,3.01,2.9825,2.995,34000.0,TREND_DOWN
2021-10-21,2.99,2.99,2.96,2.9675,22100.0,TREND_DOWN
2021-10-22,2.97,2.99,2.9675,2.9875,16400.0,INSIDE
2021-10-25,2.985,2.985,2.9725,2.98,15400.0,INSIDE
2021-10-26,2.9825,2.9825,2.9675,2.974,12100.0,TREND_DOWN
2021-10-27,2.9725,2.98,2.965,2.98,21500.0,TREND_DOWN
2021-10-28,2.97,2.9775,2.96,2.9625,20700.0,TREND_DOWN
2021-10-29,2.9625,2.975,2.96,2.9675,15800.0,INSIDE
2021-11-01,2.96,2.96,2.9375,2.94,22000.0,TREND_DOWN
2021-11-02,2.9425,2.948,2.9125,2.9225,32600.0,TREND_DOWN
2021-11-03,2.925,2.94,2.9075,2.93,32800.0,TREND_DOWN
2021-11-04,2.93,2.935,2.915,2.9175,27400.0,INSIDE
2021-11-05,2.91,2.91,2.885,2.885,55500.0,TREND_DOWN
2021-11-08,2.885,2.9075,2.88,2.895,35300.0,TREND_DOWN
2021-11-09,2.8975,2.9175,2.8925,2.895,47100.0,TREND_UP
2021-11-10,2.9025,2.91,2.885,2.8925,48600.0,TREND_DOWN
2021-11-11,2.93,2.935,2.91,2.91,53300.0,TREND_UP
2021-11-12,2.9275,2.935,2.925,2.935,37800.0,INSIDE
2021-11-15,2.94,2.94,2.915,2.92,53000.0,OUTSIDE
2021-11-16,2.92,2.925,2.91,2.916,26400.0,TREND_DOWN
2021-11-17,2.9175,2.925,2.915,2.9225,37200.0,INSIDE
2021-11-18,2.92,2.923,2.9075,2.91,33100.0,TREND_DOWN
2021-11-19,2.9075,2.9325,2.9025,2.925,59600.0,OUTSIDE
2021-11-22,2.9225,2.9225,2.91,2.9125,37300.0,INSIDE
2021-11-23,2.915,2.925,2.913,2.915,20200.0,TREND_UP
2021-11-24,2.915,2.915,2.885,2.8875,32100.0,TREND_DOWN
2021-11-25,2.8925,2.895,2.8825,2.8855,24700.0,TREND_DOWN
2021-11-26,2.8825,2.8825,2.845,2.845,53800.0,TREND_DOWN
2021-11-29,2.8425,2.8675,2.84,2.855,50000.0,TREND_DOWN
2021-11-30,2.86,2.875,2.855,2.855,41100.0,TREND_UP
