datetime,open,high,low,close,volume,kline_status,raw_fractal,valid_fractal
2024-05-22,4299.7199,4312.1688,4293.0936,4307.3265,20123246052,TREND_DOWN,,
2024-05-23,4291.6066,4291.6066,4239.7858,4248.8609,20132728964,TREND_DOWN,,
2024-05-24,4235.8625,4257.1159,4202.2436,4202.585,16949045871,TREND_DOWN,,
2024-05-29,4209.4078,4234.5552,4201.8415,4218.5961,18210211284,TREND_DOWN_(M),,
2024-05-30,4211.1341,4226.0472,4192.762,4197.9554,17356588320,TREND_DOWN,,
2024-05-31,4202.8975,4222.0243,4182.7067,4182.7067,15927014325,TREND_DOWN,,
2024-06-03,4180.0076,4204.0103,4166.0925,4189.8555,19747936055,TREND_DOWN,BOTTOM,Bx
2024-06-04,4182.8441,4232.9175,4181.0396,4228.1035,17684897489,TREND_UP,,
2024-06-05,4219.2182,4234.7346,4199.3654,4199.3654,16761552217,TREND_UP,TOP,Tx
2024-06-06,4209.4561,4229.329,4185.8666,4189.6447,20998658190,TREND_DOWN,,
2024-06-07,4194.3369,4198.2931,4144.1526,4167.5318,18206981232,TREND_DOWN,,
2024-06-11,4143.5992,4146.9447,4119.1571,4140.4942,18814087885,TREND_DOWN,BOTTOM,Bx
2024-06-12,4134.9455,4152.8441,4132.6317,4145.0701,17081555996,TREND_UP,TOP,
2024-06-13,4148.5936,4148.5936,4115.114,4120.6333,17356709415,TREND_DOWN,,
2024-06-17,4108.4064,4137.9819,4097.3603,4132.5265,21692591389,TREND_DOWN_(M),BOTTOM,Bx
2024-06-18,4129.7418,4152.3551,4129.7418,4146.0002,17054245172,TREND_UP,TOP,
2024-06-19,4144.9675,4144.9675,4117.5381,4120.3925,15029783105,TREND_DOWN,,
2024-06-20,4115.7506,4126.3531,4080.5666,4080.5666,16249016374,TREND_DOWN,,
2024-06-21,4072.1187,4085.8525,4051.4135,4074.6825,14412245497,TREND_DOWN,,
2024-06-24,4048.5384,4073.0795,4039.075,4040.092,16558945770,TREND_DOWN,,
2024-06-28,4037.8562,4037.8562,3997.2225,4023.3329,16028874194,TREND_DOWN_(M),BOTTOM,Bx
2024-07-01,4020.4572,4050.6947,4002.8921,4046.4624,16901406633,TREND_UP,,
2024-07-02,4040.4128,4052.7367,4025.8492,4029.6743,16510702568,TREND_UP,TOP,
2024-07-04,4029.165,4029.165,3991.1937,3991.1937,14206330529,TREND_DOWN_(M),,
2024-07-09,3988.154,3997.3999,3924.7799,3997.3999,15950238492,TREND_DOWN_(M),BOTTOM,B
2024-07-10,3982.8436,4007.588,3980.7316,3985.7207,18546244872,TREND_UP,,
2024-07-11,4016.1867,4044.9577,4008.6861,4043.5772,20862280802,TREND_UP,,
2024-07-16,4035.036,4064.5602,4033.9293,4064.5602,18575216044,TREND_UP_(M),,
2024-07-22,4059.976,4099.6853,4054.4753,4073.0129,18130997431,TREND_UP_(M),TOP,T
